collection_object_id,guid,species,country,state,locality,lat,lon,elevation,life_stage,examined_for,detected,not_detected,presence
33704101,UNCG:Mamm:2223,Blarina brevicauda,United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",35.03867797,-83.45209303,996.017822,adult,ectoparasite; endoparasite,ectoparasite; endoparasite,,1
33610902,UNCG:Mamm:2202,Blarina brevicauda,United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",35.03906404,-83.45206596,991.568665,adult,ectoparasite; endoparasite,endoparasite,ectoparasite,1
33704267,UNCG:Mamm:2244,Blarina brevicauda,United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",35.03878299,-83.45204802,983.486145,adult,ectoparasite; endoparasite,ectoparasite; endoparasite,,1
33704143,UNCG:Mamm:2235,Peromyscus maniculatus,United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",35.03888399,-83.45204702,972.225586,adult,ectoparasite,ectoparasite,endoparasite,1
33611410,UNCG:Mamm:3473,Napaeozapus insignis,United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",35.038899,-83.45204098,968.255127,adult,,,ectoparasite; endoparasite,1
33610990,UNCG:Mamm:2124,Blarina brevicauda,United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km 980.764526ESE Albert Mountain, along Ball Creek Road",35.03913101,-83.45203796,980.764526,adult,ectoparasite; endoparasite,endoparasite,ectoparasite,1
,,,,,,,,,,,,,
33466489,UNCG:Mamm:1619,Peromyscus maniculatus,United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",35.03879397,-83.45203402,974.942444,subadult,,,ectoparasite; endoparasite,1
33610979,UNCG:Mamm:2156,Blarina brevicauda,United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",35.03907803,-83.45202397,971.193909,adult,ectoparasite; endoparasite,endoparasite,ectoparasite,1
33704452,UNCG:Mamm:2239,Sorex cinereus,United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",35.03849901,-83.45202204,951.765808,subadult,ectoparasite; endoparasite,ectoparasite; endoparasite,,1
33704410,UNCG:Mamm:2221,Sorex cinereus,United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",35.03859499,-83.45202103,978.647034,subadult,ectoparasite; endoparasite,endoparasite,ectoparasite,1
33466708,UNCG:Mamm:1670,Blarina brevicauda,United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",35.03922799,-83.45201902,948.976501,adult,ectoparasite; endoparasite,endoparasite,ectoparasite,1
33704272,UNCG:Mamm:2268,Blarina brevicauda,United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",35.03859197,-83.452016,996.210144,adult,ectoparasite; endoparasite,ectoparasite; endoparasite,,1
33467167,UNCG:Mamm:1671,Blarina brevicauda,United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",35.03921399,-83.45199496,948.949097,adult,ectoparasite; endoparasite,ectoparasite; endoparasite,,1
,,,,,,,,,,,,,
33466255,UNCG:Mamm:1658,Sorex fumeus,United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",35.03867403,-83.45199304,961.10199,adult,ectoparasite; endoparasite,ectoparasite; endoparasite,,1
33611366,UNCG:Mamm:2136,Sorex fumeus,United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",35.03868501,-83.45198298,967.390991,adult,ectoparasite; endoparasite,ectoparasite; endoparasite,,1
33611287,UNCG:Mamm:2147,Napaeozapus insignis,United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",35.03872499,-83.45197602,982.612427,adult,ectoparasite,,ectoparasite; endoparasite,1
33610974,UNCG:Mamm:2211,Blarina brevicauda,United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",35.039115,-83.45196898,982.484314,adult,ectoparasite; endoparasite,endoparasite,ectoparasite,1
33611236,UNCG:Mamm:2210,Sorex fumeus,United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",35.039115,-83.45196898,982.484314,adult,ectoparasite; endoparasite,endoparasite,ectoparasite,1
33611408,UNCG:Mamm:3468,Peromyscus leucopus,United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",35.03929999,-83.45196504,965.314148,adult,,,ectoparasite; endoparasite,1
33466625,UNCG:Mamm:1524,Sorex fumeus,United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",35.03826197,-83.45196404,1000.490662,adult,ectoparasite; endoparasite,ectoparasite; endoparasite,,1
33611116,UNCG:Mamm:3478,Peromyscus leucopus,United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",35.03932597,-83.45196404,957.887939,adult,,,ectoparasite; endoparasite,1
33466787,UNCG:Mamm:1637,Blarina brevicauda,United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",35.03899296,-83.45194199,959.888489,adult,ectoparasite; endoparasite,ectoparasite; endoparasite,,1
33611082,UNCG:Mamm:2137,Sorex fumeus,United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",35.03864704,-83.45193897,965.819946,adult,ectoparasite; endoparasite,endoparasite,ectoparasite,1
33466496,UNCG:Mamm:1610,Peromyscus maniculatus,United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",35.03877201,-83.45193202,974.654846,juvenile,ectoparasite,ectoparasite,endoparasite,1
33466652,UNCG:Mamm:1545,Sorex fumeus,United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",35.03893898,-83.45192799,990.12793,adult,ectoparasite; endoparasite,ectoparasite; endoparasite,,1
,,,,,,,,,,,,,
33466634,UNCG:Mamm:1534,Sorex fumeus,United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",35.03864796,-83.45192196,980.613831,adult,ectoparasite; endoparasite,ectoparasite; endoparasite,,1
33466719,UNCG:Mamm:1651,Blarina brevicauda,United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",35.03903504,-83.45192196,961.773621,adult,ectoparasite; endoparasite,ectoparasite; endoparasite,,1
33466845,UNCG:Mamm:1593,Napeozapus insignis,United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",35.03869498,-83.45192003,992.857666,adult,,,ectoparasite; endoparasite,1
33611251,UNCG:Mamm:2157,Napaeozapus insignis,United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",35.03859599,-83.45191701,986.28772,adult,ectoparasite,,ectoparasite; endoparasite,1
